gene_symb,GF_mean,GF_std,SCFA_mean,SCFA_std,log2FC,is_GF_all_zero,is_SCFA_all_zero,gene_type,pvalue,padj,reject_null
Kif24,19.666666666666668,4.163331998932266,0.0,0.0,-4.369233809665719,False,True,SCFA_specific_high,0.02901006205601962,0.03,True
Rprd1b,0.0,0.0,30.726,9.2496938327709,4.987593733258041,True,False,SCFA_specific_high,0.047245918184994753,0.05,True
Atf5,0.0,0.0,22.163666666666668,10.697355950576446,4.533791736086556,True,False,SCFA_specific_high,0.05,0.05,False
Vps39,0.0,0.0,184.47233333333335,59.74184029918507,7.535060187727803,True,False,SCFA_specific_high,0.05,0.05,False
Cipc,0.0,0.0,85.616,22.94537792236162,6.436561643956302,True,False,SCFA_specific_high,0.04890954780841092,0.05,True
Tex9,0.0,0.0,27.76,6.585485859069171,4.845991770664573,True,False,SCFA_specific_high,0.04199298612009115,0.04,True
Pon3,0.0,0.0,54.64266666666666,8.702084941744324,5.798119657373307,True,False,SCFA_specific_high,0.02004672832540958,0.02,True
Zfp426,0.0,0.0,60.209,11.410458667380556,5.9356718932421675,True,False,SCFA_specific_high,0.026723819483145842,0.03,True
Abhd4,0.0,0.0,141.40466666666669,33.3131604074626,7.153852614636209,True,False,SCFA_specific_high,0.02923264311356638,0.03,True
Meis2,12.581666666666669,4.572412310075868,0.0,0.0,-3.7635886248526176,False,True,SCFA_specific_high,0.05,0.05,False
Arhgap12,21.758666666666667,7.096247059772746,7.255,6.466737894796727,-1.4630759185122026,False,False,SCFA_specific_high,0.059523634584473364,0.06,False
Rbm33,0.0,0.0,58.93866666666667,32.17747417578535,5.905415086400131,True,False,SCFA_specific_high,0.05,0.05,False
Arfip2,0.0,0.0,23.586333333333332,12.443273055483969,4.6197846904863225,True,False,SCFA_specific_high,0.05,0.05,False
Lrp3,0.0,0.0,35.562666666666665,20.31486601809949,5.192299390843429,True,False,SCFA_specific_high,0.05,0.05,False
Atxn7l2,0.0,0.0,77.46366666666667,37.978464033361504,6.293952850111376,True,False,SCFA_specific_high,0.05,0.05,False
Slc25a19,0.0,0.0,21.917666666666666,8.63946088209984,4.518388260282785,True,False,SCFA_specific_high,0.05,0.05,False
Psme2,0.0,0.0,65.98233333333333,23.089621138800297,6.065708728169907,True,False,SCFA_specific_high,0.05,0.05,False
Grip1,0.0,0.0,27.606666666666666,14.126373573332021,4.838279495252505,True,False,SCFA_specific_high,0.05,0.05,False
Mdm4,0.0,0.0,71.88933333333334,32.37143871275006,6.187635800069932,True,False,SCFA_specific_high,0.05,0.05,False
Zfp511,0.0,0.0,32.75233333333333,13.943485946252226,5.076915335482492,True,False,SCFA_specific_high,0.05,0.05,False
Meis2,0.0,0.0,22.700000000000003,8.28776562168598,4.5668151540108965,True,False,SCFA_specific_high,0.05,0.05,False
Mfn1,0.0,0.0,54.34766666666667,17.680250856063477,5.7904505923931,True,False,SCFA_specific_high,0.04711062594152147,0.05,True
Kif24,0.0,0.0,26.333333333333332,8.082903768654761,4.772589503896928,True,False,SCFA_specific_high,0.04130065272694787,0.04,True
Zfp426,27.573666666666668,24.142592866826323,0.0,0.0,-4.83661427440262,False,True,SCFA_specific_high,0.18650197611057354,0.19,False
Arhgap12,31.381333333333334,27.52613233517076,0.0,0.0,-5.017090486141935,False,True,SCFA_specific_high,0.1869993730935986,0.19,False
Mdm4,64.78933333333333,24.818806202823968,36.345,1.9707430070914864,-0.8169385952458561,False,False,SCFA_specific_high,0.18482495375027203,0.18,False
